country_code,report_date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index
ITA,2022-01-02,6328076,137646,5119893,141547196,111764427,48461968,46566431,13075,1319,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2022-01-03,6396110,137786,5133272,141992517,112391826,48527985,46614269,13684,1351,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2022-01-04,6566947,138045,5163605,143220927,113080292,48605137,46660607,14304,1392,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2022-01-05,6756035,138276,5196642,144315182,113746999,48677498,46701331,14792,1428,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2022-01-06,6975465,138474,5243412,145453492,114087613,48724098,46724800,15294,1467,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2022-01-07,7083762,138697,5270994,145945664,114775178,48800794,46788475,16090,1499,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2022-01-08,7281297,138881,5323523,147165930,115416248,48884850,46849298,16487,1557,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2022-01-09,7436939,139038,5353922,148159131,115837506,48949028,46892115,17242,1595,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2022-01-10,7554344,139265,5410482,148771952,116505661,49019889,46953163,17946,1606,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2022-01-11,7774863,139559,5500938,150147466,117230296,49102518,47014849,18744,1677,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2022-01-12,7971068,139872,5609136,151338033,117943370,49182306,47073257,18978,1669,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2022-01-13,8155645,140188,5691939,152519212,118650886,49256825,47131840,19316,1668,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2022-01-14,8356514,140548,5817138,153651521,119358360,49335070,47178588,19698,1679,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2022-01-15,8549450,140856,5937747,154869351,120058774,49433410,47217946,20047,1677,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
